S.NO,Hospital,State,City,LocalAddress,Pincode
614,Babus Maternity Hosptial,Tamilnadu,Chennai,"# 7, Doraisamy Reddy Street, Tabaram",600045
621,Bagdi Nursing Home,Tamilnadu,Chennai,"3Rd Floor, #10, Solaiappan Streett.Nagar",600017
628,Balagangadhara Varma Nursing Home & Research Center,Tamilnadu,Chennai,"No 17, First Main Road,Narayanapuram",601302
639,Balaji Hospital,Tamilnadu,Chengalpattu,"No.14,Varadanar Street,Vedachalanagar,Chengalpattuvedachala Nagar",603001
648,Balaji Surya Hospital,Tamilnadu,Erode,"#129,Pollachi Road,Dharapuram",638656
649,Balakrishna Eye Hospital & Eye Research Centre,Tamilnadu,Chennai,"11, Sastri First Cross Street, Chennai, Tamilnadu",600015
668,Bappu Clinic & Nursing Home,Tamilnadu,Chennai,"#46, Kalaingar Main Road,Srinivasa Nagar, Perungalatur,",600063
697,Be Well Hospitals Pvt Ltd,Tamilnadu,Pondicherry,"No. 15, Lawspet, Green Garden, Ecr, Pondicherry, Shenbaga Motors (Maruthi Show Room)",605008
704,Bejan Singh Eye Hospital Pvt Ltd,Tamilnadu,Kanyakumari,"No.2/1,313C,M.S.Road,Vettoornimadam,Nagercoil,",629003
720,Bethel Hospital (P) Ltd,Tamilnadu,Coimbatore,"# 223, Dr. Rajendra Prasad Road.",641012
723,Bgm Hospital,Tamilnadu,Madurai,"1/249,New Nathan Road,Iyyer Bungalow",625014
734,Bhagwan Mahaveer Eye Hospital,Tamilnadu,Chennai,"# 142, M.S. Koil Street, Royapuram.",600013
755,Bharani Paventhan Multi Speciality Hospital,Tamilnadu,Erode,"74, Sampath Nagar Erode Tamilnadu",638011
760,Bharath Hospital,Tamilnadu,Chennai,"# 72, I St Main Road,Nanganallur",600061
768,Bharathi Hospital,Tamilnadu,Virudhunagar,"# 592/2,Sri Renga Palayam,Rajapalayam",626117
805,Billroth Hospital Limited,Tamilnadu,Chennai,"#43, Lakshmi Takis Rd,Shenay Nagarshenoy Nagar, Chennai",600030
806,Billroth Hospitals - Ra Puram,Tamilnadu,Chennai,"#52, 2Nd Main Road, Raja Annamalai Puram,Raja Annamalai Puram",600028
848,Brs Hospital Pvt.Ltd,Tamilnadu,Chennai,No.28. Cathedral Garden Roadcathedral Gardens Road,600034
857,C.K. Hospital,Tamilnadu,Erode,"# 41, Balasubbarayalu Streeterode",638001
861,C.S.I. Kalyani General Hospital,Tamilnadu,Chennai,"15, Dr Radhakrishnan Salai, Mylapore, Chennai-600004, Next To City Centre",600004
863,C.S.I. Rainy Multi-Speciality Hospital,Tamilnadu,Chennai,"#45, G.A. Road Chennai",600021
865,C.S.M Nursing Home,Tamilnadu,Chennai,"# 18, Rukmani Street,West Mambalam",600033
884,Cauvery Trust Hospital,Tamilnadu,Chennai,"No.36,Ponnankinaru Street,Villivakkam,",600049
944,Chandra Hospital,Tamilnadu,Madurai,"# 10, Pillayarpalayam Road",625001
975,Chennai Eye Care Hospital,Tamilnadu,Chennai,"#6,12Th Cross Street,Dhandeeswaran Nagar,Velachery",600042
976,Chennai Krishna Hospital,Tamilnadu,Chennai,"No.297, Gst Road, Near Mit Flyover, Chromepet, Chennai, Tamilnadu",600044
977,Chennai Meenakshi Multispeciality Hospital Ltd.,Tamilnadu,Chennai,"# 148, Luz Church Road, Malapore, Chennai, Tamilnadu.",600004
980,Chettinad Super Speciality Hospital (Cssh)-(A Unit Of Rajah Muthiah Charitable And Educational Trust),Tamilnadu,Chennai,"I.T. Highway,Kelambakkam",603103
984,Child Jesus Hospital,Tamilnadu,Trichy,"P Box No 17, Cantonment, Tiruchirappalli, Trichy-620001Near To All India Radio Station",620001
1005,Chitra Kalyana Raman Nursing Home,Tamilnadu,Salem,"56,A/1,Rajaji Road",636007
1007,Chitras Ent Laser Surgery Super Speciality Hospital,Tamilnadu,Chennai,"30C, Cathedral Garden Lane,Nungambakkam.",600034
1016,Christian Hospital,Tamilnadu,Madurai,"Vaigai Dam Road, Periyakulam,Perivakulam- 625 601",625601
1020,Christudas Orthopaedic Speciality Hospital,Tamilnadu,Chennai,"#9.Duraiswamy Ngr. I.A.F. Road, Tamilnadu Chennai 59",600059
1036,City Hospital,Tamilnadu,Erode,"#87,Rkv Road,Near Chennai Silks",638003
1037,City Hospital,Tamilnadu,Tuticorin,"106, G/8A, Palai Main Road (W)Millerpuram Corner,",628008
1044,City Hospital Pavalam Trauma Centre,Tamilnadu,Dindigul,4/361 Gandhiji Nagar Trichy Road,624005
1052,Clinic Nallam,Tamilnadu,Pondicherry,"86,Eswaran Koil Street",605001
1059,Coimbatore Bone And Joint Foundation Pvt Ltd,Tamilnadu,Coimbatore,"#1091-Mettupalayam Road,North Coimbatore Bus Stop,R.S.Puram",641002
1060,Coimbatore Kidney Centre,Tamilnadu,Coimbatore,"738-B, Puliakulam Road, Coimbatore, Tamilnadu",641045
1077,Crescent Hospitals,Tamilnadu,Madurai,"37/1,Sivaganga Road,Opp To Aavin Milk Project",625020
1083,Csi Hospital,Tamilnadu,Kanchipuram,No.21.Hospital Roadkanchipuram,631502
1085,Csr Nursing Home,Tamilnadu,Coimbatore,"# 272, 7Th Street Extension,Gandhipuram, Coimbatore-641012",641012
1102,D.S.K. Hospital,Tamilnadu,Coimbatore,"# 19, Kadirnagar, Kangeyam Road, Tirupur.",641604
1114,Darshan Surgical Centre Llp,Tamilnadu,Chennai,"Block T-80, New No-24 5Th Main Road",600040
1144,Deepa Kannan Hospital,Tamilnadu,Karur,"# 33,Muthunagar,Karur",639002
1151,Deepam Eye Hospital,Tamilnadu,Chennai,"#72,Medavakkam,Tank Road,Kilpauk",600010
1152,Deepam Hospital,Tamilnadu,Chennai,"#327, Muthurangam Road,Tambaram(West),Kanchipuram,West Tambaram",600045
1153,Deepam Hospital,Tamilnadu,Coimbatore,"687, Trichy Road.",641045
1154,Deepam Hospital,Tamilnadu,Valapady,"#128,Ayya Gounder Street,Opp Police Station",636115
1155,Deepam Hospital Ltd,Tamilnadu,Chennai,"30, Ayyasamy Street,",600044
1156,Deepam Hospital Ltd,Tamilnadu,Chennai,"107-A, Gst Road, Chennai",600044
1160,Deepika Eye Care Hospital,Tamilnadu,Kanchipuram,"1564/4D,Chengalpet Road",602105
1163,Deepthi Hospital,Tamilnadu,Namakkal,"31-A,Mohanur Road",637001
1183,Devadoss Multispeciality Hospital,Tamilnadu,Madurai,"#75/1,Alagarkovil Main Roadsurveyor Colony,",625007
1184,Devaki Cancer Institute,Tamilnadu,Madurai,"#26,Theni Main Road,Arasaradi,Near Bypass Road",625016
1185,Devaki Hospital,Tamilnadu,Sivagangai,"No.6/1,Kamban Mani Mandapam Road,Karaikudi,",630001
1191,Devi Priya Hospital,Tamilnadu,Madurai,"12/54, A2G, T.B. Road,Usilampattiusilampatti, Madurai-625532.",625532
1219,Dharan Hospital,Tamilnadu,Salem,"14,Seela Naicken Patti By Pass. On A National Highway Salem",636201
1224,Dhiviya Nursing Home,Tamilnadu,Erode,"306, Chennimalai Road, Kangayam",638701
1232,Dinesh Nursing Home,Tamilnadu,Madurai,"No.6-1-33,West Street,Viswanathapuram, Madurai-625014",625014
1250,Doctor Rex'S Hospital,Tamilnadu,Chennai,"# 37, Millers Road, Kilpauk",600010
1257,Dr Agarwal'S Eye Hospital Ltd,Tamilnadu,Chennai,"19, Cathedral Road",600086
1258,Dr Agarwal'S Eye Hospital Ltd (Nanganallur),Tamilnadu,Nanganallur,"Ophthalmology Dept Margreet Sydney Hospital No 13, 2Nd Street Nanganallur Chennai-600061",600061
1262,Dr Agarwals Eye Hospital Ltd,Tamilnadu,Chennai,"#107, A Block 3Rd Avenue Anna Nagar Near",600040
1263,Dr Agarwals Eye Hospital Ltd,Tamilnadu,Chennai,"#33,7Th Avenue,Ashok Nagar",600083
1264,Dr Agarwals Eye Hospital Ltd,Tamilnadu,Chennai,"No-6, Duraisamy Street Tdk Towers Tambaram",600045
1265,Dr Agarwals Eye Hospital Ltd,Tamilnadu,Kanchipuram,"#32-B,Indiragandhi Road Opp Taluk Office",631502
1266,Dr Agarwals Eye Hospital Ltd (Dharmapuri),Tamilnadu,Dharmapuri,"136 1St Floor,Nethaji Bye Pass Road",636701
1267,Dr Agarwals Eye Hospital Ltd (Gopalapuram),Tamilnadu,Chennai,Retina Foudation No 31 1St Street Gopalapuram,600086
1268,Dr Agarwals Eye Hospital Ltd (Kumbakonam),Tamilnadu,Kumbakonam,"2/381, Indiranagar,Kumbakonam",612001
1269,Dr Agarwals Eye Hospital Ltd (Periyar Nagar),Tamilnadu,Chennai,"B-63, Siva Elango Salai 70Feet Road, Periyar Nagar",600082
1270,Dr Agarwals Eye Hospital Ltd (Salem),Tamilnadu,Salem,"#114/7,Gandhi Road,Salem",636007
1271,Dr Agarwals Eye Hospital Ltd (Villupuram),Tamilnadu,Villupuram,"#19, Trichy Trunk Road,Near To Villupuram Signal",605602
1277,Dr Kamakshi National Hospital,Tamilnadu,Chennai,No 12 Jaffer Serang Streetsecond Line Beach Chennai,600001
1280,Dr Lankesh Eye Hospital Pvt Ltd,Tamilnadu,Ashok Nagar,No-2 41St Street. 6Th Avenue. Ashok Nagarashok Nagar,600083
1284,Dr Manoharan Hospital,Tamilnadu,Coimbatore,"No.1210,Thadagam Road,Near To Aavin Milk Company,R.S. Puram,",641002
1293,Dr. A. Ansari Hospital,Tamilnadu,Nagapattanam,"# 20, Naganathar Sannadhi, Nagapattinam, Tamilnadu",611001
1294,Dr. A. Govindarajan Eye Hospitals,Tamilnadu,Trichy,"No: 6, Officer'S Colony, Puthur Tiruchirapalli-620017Trichy",620017
1300,Dr. Arvind Vision Care,Tamilnadu,Chennai,"#61, Reddy Palayam Road, Mogappair West, Chennai, Tamilnadu",600037
1316,Dr. G.C. Hospital,Tamilnadu,Karur,"#30, North Pradakshanam Road, Karur, Tamilnadu.",639001
1322,Dr. Grace George Hospital,Tamilnadu,Chennai,"# 34, Udayavar Koil Street,Thirumizhisai, Poonamalee.",600029
1325,Dr. Jacquline Divyananda (Divya Hospital),Tamilnadu,Chennai,"# 20, Medavakkam Main Road, Madipakkam",600091
1329,Dr. Jeyasekharan Medical Trust,Tamilnadu,Nagercoil,"#1159, K.P. Road, Nagerkoil.",629003
1331,Dr. K.M. Nallaswamy Hospital,Tamilnadu,Erode,"#93, Power House Road,Erode",638001
1339,Dr. Kumaraswami Health Centre ( A Unit Of Indian Medical Centre),Tamilnadu,Kanyakumari,"N.H. Road # 47, 1/4C,1/4D,1/4E Perumalpuramperumalpuram, Kanyakumari.",629703
1341,Dr. Loganathan Orthopaedic Hospital,Tamilnadu,Erode,"606/A, Mettur Main Road, Bhavani,",638301
1347,Dr. Mehta'S Multispeciality Hospital Pvt Ltd.,Tamilnadu,Chennai,"2 (E), Mc. Nicholas Road, Chennai, Opposite To Chetpet Police Station.",600031
